area,Code SIREN / postal,Type de territoire,Région,AUT-Date de début,AUT- Date de fin,Ville centre de référence,Image,classement_1,city_1,classement_2,city_2,classement_3,city_3,classement_4,city_4,classement_5,city_5,arrêt_prec,arrêt,durée_prec,durée,vitesse_prec,vitesse,distance_semaine_prec,distance_semaine,distance_weekend_prec,distance_weekend,distance_prec,distance,co2_prec,co2,co2_1000_hab,co2_1000_hab_prec,Taux de confiance,Colonne1,EST - Indice de confiance ,Colonne2,EVOLUTION (RANG) ,Habitants,Classe d'habitants
Aix-en-Provence,13001,VILLE,93 - Provence-Alpes-Côte d'Azur,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/4/44/2016_Aix-en-Provence_-_Le_cours_Mirabeau.jpg,Boulevard de la République,Aix-en-Provence,Avenue Napoléon Bonaparte,Aix-en-Provence,Cours des Minimes,Aix-en-Provence,Boulevard Aristide Briand,Aix-en-Provence,Cours Mirabeau,Aix-en-Provence,47.4,40.5571137792552,20.49,33.5,13.05,15.42,4.32,9.00,10.29,14.50,5.38,10.13,520.18,911.46,3.64608741974374,11.2323716600779,D,3,C,3,0,142668,01_entre 100 000 hab et 200 000 hab
Aix-Marseille-Provence,200054807,METRO,93 - Provence-Alpes-Côte d'Azur,09/21/2021,12/20/2021,Marseille,https://upload.wikimedia.org/wikipedia/commons/4/42/Marseille_harbour_mg_6356.jpg,La Canebière,Marseille,Place Castellane,Marseille,Rue des Récolettes,Marseille,Rue d'Aubagne,Marseille,Avenue du Prado,Marseille,48,44.7,25.26,33.5,13.7,14.72,5.63,8.15,9.12,12.25,6.32,8.95,3454.44,5377.15,1.82806908734136,5.69225990201443,C,3,C,3,0,1889666,03_Plus de 500 000 hab
Angers,49007,VILLE,52 - Pays de la Loire,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Cathédrale_Saint-Maurice_d%27Angers_-_Daniel_Jolivet.jpg/1280px-Cathédrale_Saint-Maurice_d%27Angers_-_Daniel_Jolivet.jpg,Pont de la Basse Chaîne,Angers,Boulevard du Général de Gaulle,Angers,Boulevard du Bon Pasteur,Angers,Boulevard du Maréchal Foch,Angers,Rue Dupetit-Thouars,Angers,35.4,32.4,21.21,23.6,15.6,15.67,5.44,5.95,7.72,8.42,5.81,6.38,3632.94,3109.59,23.9766367476241,33.2266367476241,B,4,B,4,0,151520,01_entre 100 000 hab et 200 000 hab
Ardenne Métropole,200041630,CA,44 - Grand Est,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/9/9d/Charleville-M%C3%A9zi%C3%A8res%2C_Place_Ducale_--_2017_--_4864.jpg,Rue Saint-Louis,Charleville-Mézières,Quai Albert 1er,Charleville-Mézières,Avenue d'Arches,Charleville-Mézières,Place de l'Hôtel de Ville,Charleville-Mézières,Rue des Champs,Charleville-Mézières,49.8,43.8,55.69,22.4,15.79,14.58,13.49,5.24,15.24,7.82,14.42,5.85,89.03,252.84,0.732944207987223,,E,1,0,,,121469,01_entre 100 000 hab et 200 000 hab
Besançon,25056,VILLE,27 - Bourgogne-Franche-Comté,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/0/07/Ville_de_Besançon..jpg,Rue Charles Krug,Besançon,Avenue Georges Clemenceau,Besançon,Place Jouffroy d'Abbans,Besançon,CHRU - Malcombe,Besançon,Rue Auguste Renoir,Besançon,39.6,37.8,17.45,23.9,15.8,15.62,4.53,5.91,7.7,9.37,5.01,6.45,392.43,627.86,3.36341664095444,6.28646851109054,E,3,C,3,0,116676,01_entre 100 000 hab et 200 000 hab
Bordeaux,213300635,VILLE,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bordeaux_%282418988310%29.jpg/1084px-Bordeaux_%282418988310%29.jpg,Pont de Pierre,Bordeaux,Rue de la Béchade,Bordeaux,Avenue de la République,Bordeaux,Boulevard du Président Wilson,Bordeaux,Place de la Bourse,Bordeaux,38.4,33.6520271134396,22.13,24.8,15.14,15.52,5.93,6.81,6.31,7.74,5.99,6.96,12994.39,12135.21,52.037507208304,52.7799224706862,A,4,A,5,-1,249712,02_Entre 200 000 hab et 500 000 hab
Bordeaux Métropole,243300316,METRO,75 - Nouvelle-Aquitaine,09/21/2021,12/20/2021,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Vue_du_Pont_Jacques_Chaban-Delmas.jpg/1280px-Vue_du_Pont_Jacques_Chaban-Delmas.jpg,Pont de Pierre,Bordeaux,Rue de la Béchade,Bordeaux,Avenue de la République,Bordeaux,Boulevard du Président Wilson,Bordeaux,Place de la Bourse,Bordeaux,35.4,32.3,21.77,24.4,15.57,15.87,5.93,6.65,6.62,8.35,6.05,6.94,18091.07,18346.21,22.5844494851075,25.4611561705331,B,4,A,5,-1,801041,03_Plus de 500 000 hab
Bourges Plus,241800507,CA,24 - Centre-Val de Loire,09/21/2021,12/20/2021,Bourges,https://upload.wikimedia.org/wikipedia/commons/8/8f/Cathédrale_Saint-Étienne_7SC2336CFP.jpg,Boulevard de l'Industrie,Bourges,Avenue Carnot,Bourges,Rocade Verte,Bourges,Rue du Docteur Prunet,Bourges,Boulevard du Maréchal Joffre,Bourges,50.4,44.8382475191643,28.96,25.9,14.63,16.46,6.3,7.39,9.14,9.67,6.91,7.75,161.37,381.65,1.56208859289089,2.75478200263301,E,1,C,3,-2,103304,01_entre 100 000 hab et 200 000 hab
Régon Bourgogne-Franche-Comté,200053726,REGION,27 - Bourgogne-Franche-Comté,09/21/2021,12/20/2021,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Dijon_banner.jpg/1280px-Dijon_banner.jpg,Place Bossuet,Dijon,Rue Monge,Dijon,Boulevard de la Trémouille,Dijon,Place du Premier Mai,Dijon,Rue de l'Hôpital,Dijon,42.6,40.0,33.27,36.1,15.09,15.42,7.49,8.39,11.88,16.03,8.63,10.10,6454.52,17434.11,2.31768465654063,8.51787137778735,C,1,C,3,-2,2784900,03_Plus de 500 000 hab
Brest Métropole,242900314,METRO,53 - Bretagne,09/21/2021,12/20/2021,Brest,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Château_et_Tour_Tanguy.jpg/2560px-Château_et_Tour_Tanguy.jpg,Boulevard de Plymouth,Brest,Brest Centre - Plouzané,Brest,"Avenue de la 1re D,F,L,",Brest,Boulevard de l'Europe,Brest,Rond-Point du Spernot,Brest,36.6,29.4,22.83,31.8,16.94,17.41,6.25,8.48,9.72,13.45,6.82,9.67,970.77,1463.06,4.57910377358491,5.91316037735849,D,2,C,3,-1,212000,02_Entre 200 000 hab et 500 000 hab
